bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,taxa_condominio,preco_aluguel,iptu_ano
Vila Mariana,Flat,28.0,1,1,1,1,950.0,2700.0,77.0
Cerqueira César,Flat,28.0,1,0,1,1,546.0,1882.0,77.0
Vila Olímpia,Flat,35.0,1,0,1,1,861.0,3003.0,147.0
Consolação,Flat,30.0,1,1,1,1,840.0,1959.0,140.0
Paraíso do Morumbi,Apartamento,68.0,2,1,1,2,700.0,2520.0,196.0
Pinheiros,Flat,32.0,1,0,1,1,735.0,2156.0,84.0
Planalto Paulista,Flat,30.0,1,0,1,1,791.0,2114.0,125.0
Jardim Paulista,Flat,35.0,1,0,1,1,840.0,1889.0,140.0
Moema,Flat,46.0,1,1,1,1,840.0,2310.0,140.0
Consolação,Flat,52.0,1,0,1,1,826.0,2443.0,147.0
Vila Aurora,Apartamento,51.0,2,1,2,2,407.0,1767.0,99.0
Indianópolis,Flat,36.0,1,0,1,1,840.0,1959.0,140.0
Itaim Bibi,Flat,42.0,1,1,1,1,1014.0,4235.0,175.0
Vila Nova Conceição,Flat,40.0,1,1,1,1,840.0,2450.0,140.0
Cerqueira César,Flat,28.0,1,0,1,1,735.0,1798.0,91.0
Brooklin,Apartamento,100.0,1,1,3,1,840.0,3290.0,140.0
São Paulo,Apartamento,445.0,1,3,3,4,2800.0,13846.0,700.0
Jardim Paulista,Flat,33.0,1,0,1,1,770.0,2135.0,105.0
Vila Sofia,Apartamento,60.0,1,0,3,1,420.0,1767.0,91.0
Vila Olímpia,Flat,28.0,1,0,1,1,637.0,2513.0,77.0
Itaim Bibi,Flat,35.0,1,1,1,1,840.0,4410.0,140.0
Itaim Bibi,Flat,36.0,1,0,1,1,840.0,2380.0,140.0
Moema,Apartamento,419.0,4,3,4,4,2800.0,12600.0,1365.0
Chácara Santo Antônio,Flat,30.0,1,0,1,1,840.0,2100.0,140.0
Vila Olímpia,Flat,26.0,1,0,1,1,630.0,1767.0,350.0
Perdizes,Flat,33.0,1,0,1,1,840.0,2310.0,140.0
Itaim Bibi,Apartamento,34.0,1,0,1,1,840.0,3015.0,140.0
Itaim Bibi,Flat,38.0,1,0,1,1,770.0,2660.0,700.0
Perdizes,Flat,30.0,1,0,1,1,637.0,2163.0,70.0
Vila Uberabinha,Flat,50.0,1,0,1,1,721.0,2212.0,98.0
Vila Nova Conceição,Flat,40.0,1,0,1,1,728.0,2499.0,91.0
Pinheiros,Flat,35.0,1,0,1,1,784.0,2100.0,140.0
Jardim Paulista,Flat,40.0,1,0,1,1,840.0,2310.0,140.0
Moema,Flat,35.0,1,0,1,1,840.0,2170.0,140.0
Jardim Paulista,Flat,36.0,1,1,1,1,840.0,2520.0,140.0
Vila Uberabinha,Flat,34.0,1,0,1,1,805.0,2128.0,112.0
Jardim Paulista,Flat,35.0,1,1,1,1,840.0,2660.0,140.0
Vila Andrade,Apartamento,87.0,3,2,2,2,404.0,2644.0,74.0
Paraíso,Apartamento,140.0,3,1,1,1,644.0,3444.0,196.0
