bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,taxa_condominio,preco_aluguel,iptu_ano
Cidade Monções,Apartamento,98.0,3,2,2,2,986.0,5886.0,244.0
Vila Tramontano,Flat,70.0,1,0,1,1,503.0,2163.0,77.0
Saúde,Apartamento,55.0,2,1,2,2,386.0,2065.0,84.0
Vila Morumbi,Apartamento,297.0,4,3,4,4,2100.0,10500.0,700.0
Indianópolis,Flat,37.0,1,1,1,1,882.0,2464.0,62.0
Brooklin,Apartamento,33.0,1,1,1,1,386.0,2226.0,62.0
Mirandópolis,Apartamento,90.0,1,0,3,1,454.0,2905.0,273.0
Indianópolis,Flat,35.0,1,0,1,1,770.0,1875.0,70.0
Indianópolis,Flat,37.0,1,1,1,1,630.0,1767.0,70.0
Cidade Monções,Apartamento,80.0,3,2,2,2,700.0,5600.0,350.0
Real Parque,Apartamento,367.0,5,3,4,1,2380.0,9380.0,1050.0
Vila Morumbi,Apartamento,367.0,5,3,4,3,2380.0,9380.0,1050.0
Planalto Paulista,Apartamento,200.0,3,2,4,3,2100.0,7699.0,1050.0
Saúde,Flat,35.0,1,0,1,1,770.0,1938.0,70.0
Cidade Monções,Apartamento,239.0,5,3,4,1,1610.0,13510.0,979.0
Indianópolis,Apartamento,125.0,3,1,3,2,1844.0,5344.0,348.0
Jardim Taboão,Apartamento,70.0,2,0,2,1,525.0,1785.0,140.0
Indianópolis,Apartamento,137.0,4,1,3,2,1294.0,5494.0,380.0
Indianópolis,Flat,120.0,3,1,3,2,1803.0,9503.0,330.0
Vila Suzana,Apartamento,160.0,3,3,3,4,924.0,3234.0,461.0
Vila Suzana,Apartamento,70.0,2,1,2,1,595.0,1994.0,62.0
Vila Sonia,Apartamento,120.0,4,3,3,2,840.0,5390.0,237.0
Real Parque,Apartamento,90.0,2,1,3,1,1169.0,2429.0,210.0
Itaim Bibi,Apartamento,110.0,2,1,3,1,1032.0,3132.0,247.0
Planalto Paulista,Flat,46.0,2,2,2,1,1183.0,4683.0,148.0
Indianópolis,Apartamento,206.0,5,2,2,3,1680.0,10080.0,770.0
Brooklin Paulista,Flat,40.0,1,0,1,1,770.0,2236.0,70.0
Indianópolis,Apartamento,223.0,5,3,4,2,1750.0,7000.0,560.0
Cidade Monções,Apartamento,210.0,4,3,4,3,2100.0,13846.0,700.0
Indianópolis,Flat,40.0,1,1,1,1,630.0,2240.0,70.0
Moema,Flat,28.0,1,1,1,1,1099.0,2380.0,140.0
Fazenda Morumbi,Apartamento,67.0,2,0,2,1,426.0,2071.0,175.0
Indianópolis,Flat,35.0,1,0,1,1,770.0,2100.0,70.0
Indianópolis,Flat,33.0,1,0,1,1,770.0,2450.0,70.0
Moema,Flat,32.0,1,0,1,1,687.0,2381.0,67.0
Indianópolis,Flat,27.0,1,1,1,1,1120.0,2331.0,118.0
Indianópolis,Apartamento,165.0,3,2,2,2,909.0,12110.0,350.0
Indianópolis,Apartamento,41.0,1,0,1,1,564.0,2992.0,171.0
Indianópolis,Apartamento,138.0,3,2,2,2,1281.0,5229.0,371.0
Indianópolis,Flat,30.0,1,0,1,1,620.0,2139.0,100.0
Indianópolis,Flat,26.0,1,0,1,1,909.0,2156.0,84.0
Moema,Apartamento,137.0,5,2,3,3,770.0,7070.0,280.0
Cidade Monções,Flat,48.0,1,0,1,1,628.0,2602.0,124.0
Paineiras do Morumbi,Apartamento,500.0,5,3,4,4,2800.0,7699.0,1365.0
Chácara Inglesa,Apartamento,96.0,3,1,3,2,616.0,2611.0,168.0
Cidade Monções,Flat,45.0,1,0,1,1,770.0,2737.0,70.0
Cidade Monções,Flat,40.0,1,0,1,1,560.0,3080.0,70.0
Cidade Monções,Flat,45.0,1,0,1,1,714.0,3395.0,105.0
Planalto Paulista,Apartamento,182.0,3,3,3,3,1999.0,8649.0,621.0
Indianópolis,Flat,26.0,1,1,1,1,1021.0,2072.0,98.0
Indianópolis,Flat,30.0,1,0,1,1,1225.0,2015.0,84.0
Indianópolis,Flat,35.0,1,0,1,1,770.0,2152.0,70.0
Indianópolis,Flat,30.0,1,0,1,1,1225.0,1805.0,84.0
Indianópolis,Apartamento,75.0,2,1,1,2,788.0,4498.0,219.0
Planalto Paulista,Flat,37.0,1,0,1,1,1120.0,2327.0,122.0
Moema,Flat,30.0,1,1,1,1,698.0,1958.0,141.0
Morumbi,Apartamento,109.0,3,1,3,2,721.0,2471.0,262.0
Indianópolis,Flat,94.0,1,0,1,1,630.0,3150.0,91.0
Moema,Flat,52.0,1,0,1,1,854.0,2996.0,154.0
Moema,Flat,36.0,1,0,1,1,770.0,2089.0,70.0
Moema,Flat,52.0,1,1,1,1,700.0,2100.0,140.0
Cidade Monções,Flat,75.0,1,1,1,1,805.0,5320.0,210.0
Moema,Flat,52.0,1,1,1,1,630.0,2029.0,70.0
Indianópolis,Apartamento,230.0,5,3,4,3,2520.0,6020.0,1185.0
Moema,Flat,33.0,1,0,1,1,770.0,2175.0,70.0
Moema,Flat,52.0,1,1,1,1,826.0,2296.0,154.0
Brooklin,Flat,40.0,1,1,1,1,595.0,4305.0,70.0
Indianópolis,Apartamento,230.0,4,3,4,3,2520.0,6020.0,1302.0
Cidade Monções,Apartamento,75.0,1,0,1,2,833.0,5418.0,256.0
Indianópolis,Apartamento,239.0,5,3,3,3,2730.0,6230.0,1185.0
Moema,Flat,33.0,1,1,1,1,909.0,2240.0,210.0
Indianópolis,Apartamento,163.0,4,3,3,2,1330.0,5180.0,489.0
Moema,Flat,45.0,1,0,1,1,1050.0,2520.0,140.0
Vila Uberabinha,Apartamento,220.0,5,3,3,4,1859.0,9559.0,872.0
Cidade Monções,Flat,55.0,1,1,2,1,630.0,2730.0,70.0
Vila Uberabinha,Flat,45.0,1,1,1,1,902.0,2338.0,182.0
Vila Mariana,Apartamento,78.0,2,1,3,2,437.0,2187.0,87.0
Vila Suzana,Apartamento,426.0,5,3,4,4,2730.0,8330.0,1365.0
Vila Suzana,Apartamento,150.0,3,2,4,3,1120.0,3570.0,224.0
Jardim Londrina,Apartamento,172.0,3,3,3,3,909.0,3709.0,350.0
Vila Gertrudes,Apartamento,148.0,5,3,3,3,763.0,8323.0,280.0
Brooklin,Apartamento,136.0,3,1,3,1,979.0,2870.0,170.0
Campo Belo,Apartamento,255.0,3,2,4,4,1854.0,9905.0,1085.0
Morumbi,Apartamento,127.0,2,1,3,2,833.0,2583.0,368.0
Campo Belo,Apartamento,83.0,2,0,1,1,686.0,3136.0,98.0
Vila Suzana,Apartamento,112.0,3,2,2,2,840.0,2380.0,244.0
Vila Suzana,Apartamento,131.0,4,1,3,2,889.0,2639.0,289.0
Vila Suzana,Apartamento,156.0,4,3,4,3,901.0,2581.0,406.0
Vila Suzana,Apartamento,400.0,5,3,4,4,2800.0,13846.0,1365.0
Campo Belo,Apartamento,70.0,2,0,2,1,549.0,2089.0,98.0
Campo Belo,Apartamento,150.0,5,3,4,3,1470.0,4620.0,450.0
Vila Suzana,Apartamento,245.0,3,2,4,2,2240.0,5740.0,595.0
Vila Suzana,Apartamento,198.0,5,2,4,3,1225.0,4024.0,519.0
Vila Suzana,Apartamento,152.0,5,2,4,3,1102.0,3202.0,392.0
Vila Suzana,Apartamento,70.0,1,0,1,1,386.0,1767.0,70.0
Vila Suzana,Apartamento,248.0,2,3,4,4,1470.0,7419.0,770.0
Brooklin Paulista,Apartamento,237.0,5,3,3,3,2240.0,4690.0,840.0
Campo Belo,Apartamento,186.0,4,2,4,3,1379.0,6629.0,417.0
Campo Belo,Apartamento,200.0,5,3,3,3,2800.0,6440.0,840.0
Brooklin Paulista,Apartamento,480.0,5,3,4,4,2800.0,11970.0,1365.0
Cidade Monções,Apartamento,42.0,1,1,1,1,386.0,3066.0,85.0
Campo Belo,Apartamento,183.0,5,3,3,3,1309.0,5859.0,266.0
Vila Suzana,Apartamento,94.0,1,1,1,2,875.0,2576.0,175.0
Vila Suzana,Apartamento,87.0,3,1,3,2,595.0,2345.0,203.0
Brooklin Paulista,Flat,40.0,2,1,1,2,1400.0,4270.0,140.0
Jardim da Saúde,Apartamento,420.0,3,3,3,4,1610.0,11410.0,1365.0
Vila Suzana,Apartamento,66.0,2,1,3,2,500.0,1900.0,122.0
Brooklin Paulista,Apartamento,43.0,1,0,1,1,386.0,3423.0,79.0
Brooklin Paulista,Apartamento,45.0,1,1,1,1,420.0,2520.0,81.0
Cidade Monções,Apartamento,80.0,3,2,2,2,560.0,5810.0,140.0
Jardim Morumbi,Apartamento,236.0,4,2,4,2,1128.0,7428.0,200.0
Vila Suzana,Apartamento,163.0,5,3,3,3,1959.0,4059.0,487.0
Jardim Morumbi,Apartamento,208.0,3,1,4,2,1540.0,3639.0,315.0
Vila Tramontano,Flat,70.0,1,0,1,1,574.0,2499.0,91.0
V Morumbi,Apartamento,107.0,3,1,2,2,944.0,3395.0,189.0
Vila Suzana,Apartamento,160.0,4,3,3,3,1225.0,2975.0,454.0
Cursino,Apartamento,63.0,1,1,2,2,525.0,2275.0,108.0
Sacomã,Apartamento,65.0,1,0,2,1,386.0,1767.0,70.0
Brooklin Novo,Flat,50.0,1,0,1,1,489.0,2887.0,122.0
Brooklin Novo,Flat,28.0,1,0,1,1,944.0,2022.0,77.0
Cidade Monções,Apartamento,120.0,3,1,3,2,861.0,3800.0,312.0
Indianópolis,Flat,35.0,1,0,1,1,770.0,2121.0,70.0
Mirandópolis,Apartamento,90.0,3,1,3,1,454.0,2905.0,244.0
Indianópolis,Flat,35.0,1,0,1,1,770.0,2043.0,70.0
Brooklin Paulista,Flat,34.0,1,1,1,1,434.0,2375.0,74.0
Vila Suzana,Apartamento,368.0,3,3,4,4,1750.0,8750.0,112.0
Moema,Flat,35.0,1,1,1,1,840.0,2100.0,140.0
Saúde,Flat,41.0,1,0,1,1,840.0,2730.0,140.0
Cidade Monções,Apartamento,52.0,2,1,1,1,386.0,2774.0,114.0
Brooklin Paulista,Apartamento,239.0,5,3,4,4,2015.0,13846.0,1365.0
Brooklin Paulista,Apartamento,260.0,5,3,4,4,1120.0,8820.0,546.0
Brooklin Novo,Apartamento,180.0,4,3,4,3,1330.0,6860.0,489.0
Brooklin Paulista,Apartamento,228.0,3,2,4,3,2499.0,9499.0,700.0
Indianópolis,Apartamento,120.0,3,1,3,2,909.0,7909.0,700.0
Saúde,Apartamento,94.0,2,1,3,2,443.0,2403.0,139.0
Lar São Paulo,Apartamento,77.0,3,1,3,2,614.0,2364.0,91.0
Vila Suzana,Apartamento,242.0,4,2,4,4,2100.0,4900.0,840.0
Planalto Paulista,Apartamento,360.0,3,2,4,3,1538.0,8398.0,783.0
Indianópolis,Apartamento,206.0,3,2,2,3,1610.0,9520.0,979.0
Indianópolis,Apartamento,100.0,4,1,3,2,802.0,2972.0,224.0
Brooklin Novo,Flat,33.0,1,0,1,1,770.0,2254.0,125.0
Indianópolis,Flat,40.0,1,1,1,1,770.0,2156.0,98.0
Indianópolis,Apartamento,255.0,5,3,4,3,2100.0,9100.0,840.0
Brooklin Paulista,Flat,32.0,1,0,1,1,667.0,1767.0,81.0
Brooklin Paulista,Flat,32.0,1,0,1,1,668.0,2151.0,87.0
Vila Gumercindo,Apartamento,61.0,1,0,2,2,560.0,2310.0,105.0
Brooklin Novo,Flat,32.0,1,1,1,1,1050.0,2275.0,175.0
Cidade Monções,Apartamento,162.0,2,2,3,2,1120.0,8112.0,413.0
Indianópolis,Flat,27.0,1,1,1,1,688.0,2158.0,81.0
Indianópolis,Flat,33.0,1,0,1,1,770.0,2310.0,70.0
Chácara Inglesa,Apartamento,50.0,1,0,2,2,420.0,2029.0,70.0
Indianópolis,Flat,55.0,1,1,1,1,1127.0,2128.0,112.0
Indianópolis,Flat,75.0,1,1,2,1,909.0,3010.0,140.0
Indianópolis,Apartamento,55.0,1,0,1,1,1120.0,2660.0,140.0
Cidade Monções,Apartamento,162.0,3,2,3,2,1183.0,7475.0,468.0
Cidade Monções,Apartamento,162.0,1,2,3,2,1120.0,8112.0,413.0
Real Parque,Apartamento,274.0,4,3,4,4,2793.0,5593.0,1225.0
Moema,Apartamento,210.0,4,3,3,3,1050.0,13846.0,560.0
Real Parque,Apartamento,200.0,5,3,4,4,2165.0,5315.0,496.0
Indianópolis,Flat,40.0,1,0,1,1,1134.0,2114.0,125.0
Vila Gumercindo,Apartamento,222.0,4,3,3,4,1215.0,6465.0,563.0
São Paulo,Apartamento,164.0,1,1,3,2,1330.0,6230.0,665.0
Moema,Flat,37.0,1,1,1,1,630.0,2029.0,70.0
Indianópolis,Flat,130.0,1,1,2,2,1819.0,5670.0,280.0
Indianópolis,Apartamento,150.0,1,1,4,3,1959.0,8260.0,280.0
Indianópolis,Flat,26.0,1,0,1,1,909.0,2156.0,84.0
Indianópolis,Flat,26.0,1,1,1,1,930.0,1980.0,118.0
Cidade Monções,Flat,48.0,1,1,1,1,756.0,3101.0,118.0
Cidade Monções,Flat,35.0,1,0,1,1,770.0,2731.0,70.0
Cidade Monções,Flat,70.0,1,1,1,2,630.0,4130.0,70.0
Indianópolis,Flat,130.0,1,2,3,2,1819.0,4620.0,280.0
Cidade Monções,Flat,35.0,1,0,1,1,770.0,2747.0,70.0
Planalto Paulista,Apartamento,200.0,5,3,4,3,1750.0,8049.0,210.0
Cidade Monções,Flat,48.0,1,0,1,1,600.0,1828.0,131.0
Paineiras do Morumbi,Apartamento,280.0,3,2,4,4,2520.0,4270.0,979.0
Cidade Monções,Flat,40.0,1,0,1,1,863.0,3215.0,144.0
Vila Mariana,Apartamento,100.0,1,1,3,3,882.0,3052.0,140.0
Moema,Flat,35.0,1,1,1,1,728.0,1924.0,105.0
Indianópolis,Flat,35.0,1,0,1,1,770.0,2212.0,70.0
Moema,Apartamento,100.0,2,1,2,1,805.0,4319.0,125.0
Ipiranga,Apartamento,70.0,1,1,2,1,386.0,1767.0,66.0
Indianópolis,Flat,28.0,1,0,1,1,700.0,2100.0,140.0
Moema,Flat,35.0,1,0,1,1,637.0,1767.0,84.0
Moema,Flat,35.0,1,1,1,1,489.0,1767.0,70.0
Moema,Flat,65.0,1,0,2,1,770.0,3807.0,70.0
Moema,Flat,30.0,1,1,1,1,1190.0,2240.0,140.0
Moema,Flat,30.0,1,1,1,1,1190.0,2240.0,140.0
Indianópolis,Flat,26.0,1,1,1,1,979.0,2029.0,140.0
Indianópolis,Apartamento,80.0,3,1,3,1,574.0,3024.0,94.0
Planalto Paulista,Flat,32.0,1,0,1,1,703.0,3853.0,102.0
Planalto Paulista,Flat,30.0,1,0,1,1,630.0,2240.0,70.0
Planalto Paulista,Flat,36.0,1,1,1,1,630.0,2170.0,70.0
Moema,Flat,42.0,1,0,1,1,770.0,2380.0,70.0
Planalto Paulista,Flat,30.0,1,1,1,1,698.0,1958.0,141.0
Brooklin,Apartamento,47.0,1,1,1,1,524.0,2974.0,130.0
Moema,Flat,60.0,1,0,1,1,770.0,2194.0,70.0
Moema,Flat,52.0,1,1,1,1,630.0,2520.0,70.0
Cidade Monções,Apartamento,132.0,3,2,2,3,1400.0,7349.0,385.0
Indianópolis,Apartamento,230.0,1,3,4,3,2520.0,6020.0,1185.0
Moema,Flat,31.0,1,1,1,1,630.0,2029.0,70.0
Cidade Monções,Apartamento,125.0,2,1,1,2,1386.0,6006.0,336.0
Cidade Monções,Flat,60.0,1,1,2,1,944.0,4003.0,196.0
Moema,Flat,33.0,1,0,1,1,840.0,2100.0,140.0
Moema,Flat,31.0,1,1,1,1,630.0,2029.0,70.0
Indianópolis,Apartamento,212.0,5,3,4,2,2730.0,6230.0,808.0
Cidade Monções,Flat,51.0,1,0,1,1,840.0,3080.0,140.0
Vila Uberabinha,Apartamento,150.0,3,1,4,3,1260.0,5530.0,595.0
Cidade Monções,Flat,54.0,1,0,2,2,630.0,3342.0,157.0
Indianópolis,Apartamento,234.0,3,2,2,3,1540.0,12040.0,553.0
Cidade Monções,Flat,65.0,1,0,2,1,770.0,2740.0,70.0
Indianópolis,Apartamento,26.0,1,1,1,1,840.0,2730.0,112.0
Indianópolis,Apartamento,190.0,4,3,4,3,2100.0,7349.0,700.0
Vila Gumercindo,Apartamento,72.0,1,1,2,1,489.0,1767.0,62.0
Moema,Apartamento,33.0,1,0,1,1,686.0,2156.0,105.0
Moema,Flat,65.0,1,0,2,1,770.0,3849.0,70.0
Moema,Flat,120.0,2,1,3,2,1645.0,6318.0,314.0
Moema,Flat,42.0,1,0,1,1,700.0,2313.0,70.0
Moema,Flat,38.0,1,0,1,1,770.0,2121.0,70.0
Vila Mariana,Apartamento,78.0,2,0,3,2,489.0,2240.0,105.0
Moema,Flat,50.0,1,1,1,1,909.0,1819.0,280.0
Moema,Apartamento,54.0,1,0,1,1,840.0,3290.0,70.0
Indianópolis,Flat,28.0,1,1,1,1,1050.0,1819.0,140.0
Vila Nair,Apartamento,120.0,3,1,3,2,1014.0,2485.0,91.0
Indianópolis,Flat,26.0,1,1,1,1,840.0,1959.0,70.0
Indianópolis,Flat,32.0,1,1,1,1,1050.0,1819.0,70.0
Vila Uberabinha,Apartamento,120.0,2,1,3,1,1330.0,4130.0,118.0
Vila Uberabinha,Apartamento,141.0,2,1,3,2,1225.0,6125.0,361.0
Vila Olímpia,Apartamento,92.0,2,1,3,2,1120.0,3919.0,371.0
Vila Olímpia,Apartamento,92.0,4,1,3,2,1190.0,6790.0,336.0
Indianópolis,Flat,35.0,1,0,1,1,770.0,2124.0,70.0
Vila Uberabinha,Apartamento,208.0,1,2,4,2,1705.0,7305.0,699.0
Morumbi,Apartamento,116.0,2,1,2,2,2450.0,8049.0,62.0
Vila Uberabinha,Apartamento,209.0,5,2,4,2,1705.0,5555.0,699.0
Indianópolis,Flat,27.0,1,1,1,1,840.0,1959.0,70.0
Vila Olímpia,Apartamento,43.0,1,0,1,1,489.0,3220.0,62.0
Moema,Flat,26.0,1,1,1,1,1014.0,2114.0,125.0
Brooklin Paulista,Apartamento,40.0,1,0,1,1,630.0,2870.0,70.0
Vila Suzana,Apartamento,35.0,1,1,1,1,475.0,1767.0,777.0
Vila Suzana,Flat,34.0,1,0,1,1,510.0,1778.0,62.0
Campo Belo,Apartamento,210.0,5,3,3,3,2660.0,6860.0,909.0
Vila Suzana,Apartamento,68.0,2,1,2,2,540.0,2290.0,112.0
Vila Suzana,Apartamento,256.0,5,3,4,4,1819.0,5320.0,1365.0
Consolação,Apartamento,50.0,1,0,1,1,386.0,1767.0,62.0
Campo Belo,Apartamento,365.0,5,3,4,4,2800.0,13846.0,1365.0
Vila Suzana,Apartamento,176.0,4,3,4,3,1169.0,3269.0,461.0
Campo Belo,Apartamento,194.0,4,3,4,3,1540.0,5670.0,417.0
Campo Belo,Apartamento,194.0,4,3,4,3,1379.0,6209.0,420.0
Vila Suzana,Apartamento,136.0,4,1,4,2,889.0,2639.0,280.0
Campo Belo,Apartamento,240.0,3,2,4,3,2100.0,7349.0,658.0
Campo Belo,Apartamento,230.0,4,1,2,1,1330.0,6230.0,157.0
Brooklin Paulista,Flat,60.0,2,1,2,2,1190.0,4690.0,210.0
Brooklin Paulista,Flat,65.0,1,1,2,1,1169.0,4949.0,91.0
Brooklin,Apartamento,45.0,1,0,1,1,386.0,2824.0,70.0
Morumbi,Apartamento,130.0,2,1,3,2,1177.0,3627.0,331.0
Vila Morumbi,Apartamento,262.0,3,2,4,4,1586.0,7886.0,882.0
Paraisópolis,Apartamento,400.0,5,3,3,4,1819.0,6720.0,1120.0
Real Parque,Apartamento,300.0,4,2,4,4,2800.0,6151.0,1204.0
Vila Suzana,Apartamento,160.0,3,2,4,3,1155.0,2905.0,454.0
Paraisópolis,Apartamento,183.0,1,2,4,2,755.0,2855.0,434.0
Brooklin Paulista,Apartamento,175.0,4,1,3,2,1269.0,4069.0,380.0
Vila Suzana,Apartamento,70.0,2,1,2,2,595.0,2135.0,125.0
Brooklin Paulista,Apartamento,61.0,2,1,2,1,489.0,5740.0,70.0
Brooklin Paulista,Apartamento,80.0,3,2,2,2,616.0,7546.0,207.0
Moema,Flat,37.0,1,0,1,1,386.0,1767.0,109.0
Mirandópolis,Apartamento,69.0,2,1,2,2,838.0,2938.0,1283.0
Planalto Paulista,Apartamento,211.0,5,3,4,4,2730.0,8330.0,1037.0
Brooklin Paulista,Apartamento,138.0,2,1,3,2,1341.0,4141.0,336.0
Brooklin Novo,Apartamento,115.0,3,1,3,1,979.0,3430.0,98.0
Indianópolis,Flat,35.0,1,0,1,1,770.0,2029.0,70.0
Planalto Paulista,Apartamento,210.0,5,3,4,4,2730.0,8330.0,1038.0
Brooklin Paulista,Apartamento,113.0,3,1,3,2,700.0,3150.0,171.0
Real Parque,Apartamento,89.0,3,1,2,2,993.0,2534.0,231.0
Brooklin Paulista,Flat,33.0,1,1,1,1,420.0,2422.0,98.0
Brooklin Paulista,Apartamento,220.0,3,1,3,2,1773.0,5273.0,434.0
Brooklin Paulista,Apartamento,180.0,4,1,3,2,1218.0,5068.0,350.0
Brooklin Novo,Apartamento,247.0,3,1,2,3,1889.0,7734.0,630.0
Saúde,Apartamento,100.0,1,1,3,2,454.0,3535.0,175.0
Indianópolis,Apartamento,106.0,1,1,3,2,1057.0,5397.0,204.0
Brooklin Novo,Apartamento,314.0,4,3,4,4,2380.0,7279.0,993.0
Brooklin Novo,Apartamento,314.0,5,3,4,4,2590.0,7489.0,1050.0
Brooklin Novo,Apartamento,314.0,5,3,4,4,2380.0,7279.0,965.0
Real Parque,Apartamento,191.0,1,3,3,4,2086.0,7335.0,700.0
Indianópolis,Apartamento,270.0,3,2,4,4,2100.0,7699.0,1109.0
Real Parque,Apartamento,260.0,1,3,3,4,979.0,4059.0,413.0
Itaim Bibi,Flat,29.0,1,1,1,1,1173.0,2433.0,140.0
Planalto Paulista,Apartamento,210.0,1,3,3,4,2450.0,8750.0,700.0
Indianópolis,Apartamento,200.0,5,3,3,2,1120.0,5320.0,379.0
Moema,Apartamento,127.0,2,1,3,1,1193.0,3293.0,252.0
Brooklin Paulista,Flat,30.0,1,1,1,1,1141.0,2611.0,84.0
Indianópolis,Apartamento,220.0,5,2,4,4,2590.0,12390.0,875.0
Real Parque,Apartamento,120.0,3,1,3,2,1400.0,3010.0,266.0
Indianópolis,Flat,28.0,1,1,1,1,714.0,2240.0,70.0
Planalto Paulista,Apartamento,190.0,4,3,3,4,2590.0,9520.0,979.0
Moema,Apartamento,220.0,5,3,4,4,1680.0,7979.0,947.0
Bela Vista,Apartamento,251.0,3,1,4,1,1757.0,6657.0,406.0
Moema,Apartamento,212.0,5,1,4,3,1610.0,8610.0,539.0
Indianópolis,Apartamento,138.0,2,2,2,2,1260.0,5110.0,315.0
Jardim Londrina,Apartamento,120.0,3,1,3,3,923.0,2849.0,301.0
Moema,Apartamento,24.0,1,0,1,1,489.0,2590.0,125.0
Indianópolis,Apartamento,120.0,4,1,2,2,1835.0,8716.0,382.0
Indianópolis,Apartamento,145.0,3,2,4,1,875.0,4024.0,182.0
Indianópolis,Flat,120.0,2,2,4,2,700.0,9663.0,70.0
Cidade Monções,Flat,48.0,1,0,1,1,499.0,2203.0,107.0
Moema,Flat,120.0,4,1,3,2,1959.0,6615.0,385.0
Moema,Apartamento,182.0,5,2,4,3,1994.0,8575.0,616.0
Indianópolis,Flat,65.0,1,0,2,1,770.0,6317.0,70.0
Cidade Monções,Apartamento,51.0,1,1,1,1,454.0,3814.0,84.0
Real Parque,Apartamento,462.0,5,3,4,4,2800.0,13846.0,1365.0
Cidade Monções,Flat,48.0,1,0,1,1,499.0,1780.0,107.0
Morumbi,Apartamento,90.0,3,1,3,3,686.0,2086.0,112.0
Indianópolis,Apartamento,170.0,5,3,3,3,1120.0,6720.0,489.0
Vila Cunha Bueno,Apartamento,69.0,1,1,3,1,386.0,1767.0,118.0
Chácara Inglesa,Apartamento,54.0,2,1,3,2,475.0,2401.0,80.0
Indianópolis,Flat,32.0,1,1,1,1,910.0,2298.0,84.0
Indianópolis,Flat,30.0,1,0,1,1,1225.0,2015.0,84.0
Indianópolis,Apartamento,235.0,4,3,4,3,2660.0,12460.0,909.0
Indianópolis,Flat,26.0,1,0,1,1,805.0,1959.0,70.0
Indianópolis,Flat,26.0,1,1,1,1,979.0,1994.0,105.0
Indianópolis,Flat,33.0,1,0,1,1,770.0,2219.0,70.0
Moema,Flat,35.0,1,1,1,1,630.0,2029.0,70.0
Indianópolis,Flat,26.0,1,0,1,1,489.0,1889.0,140.0
Moema,Flat,36.0,1,0,1,1,770.0,1970.0,70.0
Planalto Paulista,Flat,35.0,1,1,1,1,630.0,2029.0,70.0
Jardim Paulista,Apartamento,130.0,2,1,3,2,909.0,4410.0,273.0
Moema,Flat,52.0,1,0,1,1,793.0,1944.0,156.0
Moema,Flat,52.0,1,1,1,1,770.0,2254.0,125.0
Moema,Flat,33.0,1,1,1,1,840.0,2100.0,140.0
Moema,Flat,33.0,1,1,1,1,840.0,2107.0,133.0
Moema,Flat,52.0,1,0,1,1,875.0,1994.0,100.0
Moema,Flat,52.0,1,0,1,1,840.0,2036.0,200.0
Real Parque,Apartamento,300.0,3,3,3,4,2800.0,13846.0,1120.0
Moema,Flat,52.0,1,0,1,1,672.0,2184.0,125.0
Indianópolis,Apartamento,195.0,5,3,3,3,2618.0,11718.0,814.0
Moema,Flat,42.0,1,0,1,1,770.0,2208.0,70.0
Moema,Flat,33.0,1,1,1,1,840.0,2107.0,133.0
Moema,Apartamento,31.0,1,0,1,1,895.0,2995.0,182.0
Planalto Paulista,Apartamento,110.0,1,1,4,2,770.0,6020.0,210.0
Chácara Inglesa,Apartamento,65.0,3,1,2,2,700.0,2310.0,92.0
Cidade Monções,Apartamento,75.0,2,1,2,2,750.0,4687.0,212.0
Indianópolis,Apartamento,135.0,3,1,3,1,840.0,4340.0,210.0
Indianópolis,Apartamento,178.0,5,1,3,2,1260.0,6160.0,315.0
Vila Uberabinha,Apartamento,223.0,3,3,3,4,1859.0,9559.0,1365.0
Moema,Flat,70.0,2,1,2,1,1400.0,2607.0,191.0
Moema,Flat,45.0,1,1,1,1,840.0,1889.0,70.0
Moema,Flat,26.0,1,0,1,1,770.0,1826.0,70.0
Moema,Flat,46.0,1,1,1,1,909.0,2029.0,70.0
Moema,Flat,46.0,1,1,1,1,909.0,2029.0,70.0
Vila Uberabinha,Apartamento,130.0,2,1,3,1,1400.0,3570.0,157.0
Indianópolis,Apartamento,220.0,4,1,4,2,2170.0,8470.0,595.0
Vila Uberabinha,Apartamento,150.0,2,1,3,3,1610.0,5040.0,266.0
Vila Clementino,Apartamento,60.0,2,0,2,1,533.0,1863.0,88.0
Vila Olímpia,Flat,52.0,1,0,2,1,637.0,3157.0,221.0
Vila Uberabinha,Apartamento,209.0,2,2,4,2,1705.0,6255.0,699.0
Vila Olímpia,Flat,36.0,1,1,1,1,489.0,2709.0,91.0
Vila Olímpia,Apartamento,105.0,3,1,3,2,909.0,6510.0,434.0
Moema,Flat,28.0,1,0,1,1,770.0,1767.0,140.0
Vila Uberabinha,Apartamento,178.0,3,3,3,3,1386.0,9086.0,468.0
Vila Olímpia,Flat,52.0,1,1,1,1,1204.0,2534.0,125.0
Ipiranga,Apartamento,100.0,2,0,2,1,386.0,1767.0,62.0
São Paulo,Apartamento,210.0,5,3,4,3,1295.0,13846.0,686.0
Indianópolis,Flat,35.0,1,0,1,1,770.0,2096.0,70.0
Ipiranga,Apartamento,100.0,2,0,2,1,386.0,1767.0,62.0
Indianópolis,Apartamento,242.0,4,3,4,4,2800.0,11830.0,840.0
Ipiranga,Apartamento,150.0,1,1,3,2,630.0,3779.0,280.0
Vila Uberabinha,Apartamento,302.0,5,3,4,4,2800.0,13846.0,1050.0
Moema,Flat,48.0,2,0,1,1,454.0,3073.0,77.0
Moema,Apartamento,74.0,2,1,1,2,996.0,6246.0,187.0
